CustomerNum,Casino,Visits2010,AvgAmountPerStay,PreferredGame
5958381349,Pirate's Booty,1,10,Roulette
8426258249,Golden Pharoah,8,41,Craps
4080071037,Lion's Den,14,79,Roulette
0931498000,Tennessee Tom's,7,12,Roulette
3319487852,The Pallasadium,5,83,Slots
1381135091,Pirate's Booty,1,54,Poker
0861018212,Pirate's Booty,12,61,Blackjack
1372876408,Lion's Den,1,10,Poker
2069132544,Lion's Den,11,79,Poker
6482215972,Lion's Den,12,13,Poker
0928546421,Montebella,2,36,Craps
9399652248,Montebella,14,39,Roulette
0083664377,The Pallasadium,11,55,Blackjack
4715857997,Saddleman's Ranch,8,35,Poker
0838064933,Pirate's Booty,7,34,Craps
6807700743,Saddleman's Ranch,7,73,Blackjack
9714613609,Golden Pharoah,9,19,Craps
4546105680,Golden Pharoah,1,57,Slots
1467898849,The Pallasadium,13,70,Craps
2145886976,Tennessee Tom's,11,26,Blackjack
1586646918,Pirate's Booty,11,17,Craps
6627534072,Slappy O'Mulligans,4,80,Blackjack
6395029571,Montebella,2,39,Poker
6314734859,The Pallasadium,8,43,Blackjack
0946813764,Saddleman's Ranch,6,23,Blackjack
2576165278,Pirate's Booty,5,39,Roulette
7024773043,Saddleman's Ranch,5,54,Craps
8797631327,Montebella,15,54,Slots
5255990981,Saddleman's Ranch,6,48,Blackjack
9837469753,Slappy O'Mulligans,2,51,Roulette
2244137940,Golden Pharoah,1,36,Craps
4384599853,Pirate's Booty,11,98,Blackjack
9047516907,Slappy O'Mulligans,5,26,Poker
0513067722,Slappy O'Mulligans,13,23,Blackjack
7959779666,Tennessee Tom's,10,55,Roulette
2338117767,Pirate's Booty,15,60,Blackjack
2402141096,Saddleman's Ranch,11,82,Poker
0789638643,Slappy O'Mulligans,15,22,Blackjack
7273004414,Slappy O'Mulligans,4,44,Poker
6225325271,Saddleman's Ranch,6,20,Craps
5376892417,Pirate's Booty,5,95,Blackjack
9883911594,Golden Pharoah,3,61,Slots
8405065129,Slappy O'Mulligans,13,24,Craps
2359437184,The Pallasadium,12,90,Poker
2268079543,The Pallasadium,2,45,Blackjack
3262083403,Lion's Den,6,37,Craps
9545365952,Golden Pharoah,1,23,Slots
7176584257,Slappy O'Mulligans,6,90,Slots
6193533704,The Pallasadium,10,70,Slots
3962748389,The Pallasadium,4,51,Roulette
6668299888,Montebella,15,79,Blackjack
2840830163,Montebella,14,68,Craps
5136897016,The Pallasadium,2,70,Slots
9315132781,Lion's Den,6,93,Blackjack
2448735894,Tennessee Tom's,10,76,Blackjack
1731797399,Montebella,7,78,Blackjack
7163530410,Slappy O'Mulligans,14,57,Craps
5073625084,Montebella,12,34,Roulette
7025527395,Slappy O'Mulligans,15,11,Blackjack
6716768423,Golden Pharoah,1,71,Craps
9784867928,The Pallasadium,8,13,Blackjack
1241749801,The Pallasadium,8,72,Roulette
4516691089,Golden Pharoah,13,19,Craps
0462221068,The Pallasadium,2,55,Craps
4857785479,Pirate's Booty,5,57,Roulette
0972562411,Lion's Den,3,20,Roulette
7782439953,Saddleman's Ranch,12,59,Blackjack
0880282286,Montebella,5,14,Craps
9169616476,The Pallasadium,4,62,Roulette
9759001006,Golden Pharoah,4,22,Blackjack
0141382613,Saddleman's Ranch,5,51,Roulette
6562503145,The Pallasadium,12,35,Craps
3212458851,Golden Pharoah,12,17,Poker
2500555124,Lion's Den,1,75,Craps
1236623120,Lion's Den,8,75,Slots
9877406453,Saddleman's Ranch,14,82,Blackjack
2839629658,The Pallasadium,7,53,Slots
4872092284,Pirate's Booty,5,20,Slots
